"category","register","size","datatype","description_en","description_de","ha_sensor_name","unit","min_max","display_code","scaling_factor","source","rw_spec","rw_implemented"
"Device Information","11","1","uint16","Gateway device type","Gateway Gerätetyp","gateway_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","128","1","uint16","Devices connected","Angeschlossene Geräte","devices_connected","","0-65535","mdi:developer-board","","GTW-08 spec","R","R"
"System Discovery","129","1","uint16","Board 1 device type","Platine 1 Gerätetyp","board1_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","130","1","uint16","Board 1 software version","Platine 1 Softwareversion","board1_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","131","1","uint16","Board 1 config table version","Platine 1 Konfigurationstabellenversion","board1_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","132","1","uint16","Board 1 hardware version","Platine 1 Hardwareversion","board1_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","133","2","uint32","Board 1 article number","Platine 1 Artikelnummer","board1_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","135","1","uint16","Board 2 device type","Platine 2 Gerätetyp","board2_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","136","1","uint16","Board 2 software version","Platine 2 Softwareversion","board2_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","137","1","uint16","Board 2 config table version","Platine 2 Konfigurationstabellenversion","board2_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","138","1","uint16","Board 2 hardware version","Platine 2 Hardwareversion","board2_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","139","2","uint32","Board 2 article number","Platine 2 Artikelnummer","board2_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","141","1","uint16","Board 3 device type","Platine 3 Gerätetyp","board3_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","142","1","uint16","Board 3 software version","Platine 3 Softwareversion","board3_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","143","1","uint16","Board 3 config table version","Platine 3 Konfigurationstabellenversion","board3_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","144","1","uint16","Board 3 hardware version","Platine 3 Hardwareversion","board3_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","145","2","uint32","Board 3 article number","Platine 3 Artikelnummer","board3_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","147","1","uint16","Board 4 device type","Platine 4 Gerätetyp","board4_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","148","1","uint16","Board 4 software version","Platine 4 Softwareversion","board4_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","149","1","uint16","Board 4 config table version","Platine 4 Konfigurationstabellenversion","board4_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","150","1","uint16","Board 4 hardware version","Platine 4 Hardwareversion","board4_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","151","2","uint32","Board 4 article number","Platine 4 Artikelnummer","board4_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","153","1","uint16","Board 5 device type","Platine 5 Gerätetyp","board5_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","154","1","uint16","Board 5 software version","Platine 5 Softwareversion","board5_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","155","1","uint16","Board 5 config table version","Platine 5 Konfigurationstabellenversion","board5_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","156","1","uint16","Board 5 hardware version","Platine 5 Hardwareversion","board5_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","157","2","uint32","Board 5 article number","Platine 5 Artikelnummer","board5_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","159","1","uint16","Board 6 device type","Platine 6 Gerätetyp","board6_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","160","1","uint16","Board 6 software version","Platine 6 Softwareversion","board6_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","161","1","uint16","Board 6 config table version","Platine 6 Konfigurationstabellenversion","board6_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","162","1","uint16","Board 6 hardware version","Platine 6 Hardwareversion","board6_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","163","2","uint32","Board 6 article number","Platine 6 Artikelnummer","board6_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","165","1","uint16","Board 7 device type","Platine 7 Gerätetyp","board7_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","166","1","uint16","Board 7 software version","Platine 7 Softwareversion","board7_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","167","1","uint16","Board 7 config table version","Platine 7 Konfigurationstabellenversion","board7_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","168","1","uint16","Board 7 hardware version","Platine 7 Hardwareversion","board7_hardware_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","169","2","uint32","Board 7 article number","Platine 7 Artikelnummer","board7_article_number","","0-4294967295","mdi:barcode","","German parameter list","R","R"
"System Discovery","171","1","uint16","Board 8 device type","Platine 8 Gerätetyp","board8_device_type","","0-65535","mdi:chip","","German parameter list","R","R"
"System Discovery","172","1","uint16","Board 8 software version","Platine 8 Softwareversion","board8_software_version","","0-65535","mdi:memory","","German parameter list","R","R"
"System Discovery","173","1","uint16","Board 8 config table version","Platine 8 Konfigurationstabellenversion","board8_config_table_version","","0-65535","mdi:memory","","German parameter list","R","R"
